%
% ARFF file 
%
@relation vegetables


@attribute plant_height numeric
@attribute crop_size numeric
@attribute color {zielony, zolty, czerwony, brazowy, czarny}
@attribute crop {owoce, bulwy,nasiona}
@attribute name? {buraki, ziemniaki, gruszki, wisnie, truskawki, maliny, jagody, pszenica}

@data
90.70,	1.07,	zielony,	nasiona,	pszenica
19.92,	1.71,	zolty,		owoce,	maliny
49.00,	5.78,	zielony,	bulwy,	buraki
86.76,	2.16,	zielony,	owoce,	wisnie
14.02,	5.24,	brazowy,	owoce,	maliny
14.02,	5.24,	brazowy,	owoce,	maliny
46.20,	4.00,	zielony,	nasiona,	pszenica
57.60,	1.72,	czarny,		owoce,	jagody
31.54,	3.51,	zielony,	owoce,	maliny
88.28,	8.55,	czerwony,	owoce,	gruszki
22.22,	2.02,	zolty,		bulwy,	buraki
9.78,	5.17,	czerwony,	owoce,	truskawki
14.92,	3.67,	brazowy,	bulwy,	ziemniaki
65.49,	1.41,	zolty,		nasiona,	pszenica
20.97,	2.32,	czerwony,	owoce,	maliny
5.18,	1.67,	zolty,		owoce,	truskawki
55.41,	3.74,	czerwony,	owoce,	wisnie
76.80,	2.34,	zielony,	owoce,	wisnie
46.18,	2.02,	czarny,		bulwy,	jagody
4.70,	1.95,	czarny,		bulwy,	ziemniaki
28.82,	4.61,	czarny,		bulwy,	buraki
64.02,	9.32,	brazowy,	nasiona,	pszenica
2.55,	6.67,	brazowy,	bulwy,	ziemniaki
22.47,	2.01,	czerwony,	bulwy,	buraki
92.88,	3.44,	zielony,	nasiona,	pszenica
35.90,	4.36,	zielony,	bulwy,	buraki
8.86,	4.90,	brazowy,	bulwy,	ziemniaki
29.97,	3.05,	zielony,	nasiona,	pszenica
74.90,	7.01,	brazowy,	owoce,	gruszki
39.19,	5.71,	brazowy,	bulwy,	buraki
39.21,	6.14,	brazowy,	nasiona,	pszenica
97.32,	6.72,	czarny,		owoce,	gruszki
17.53,	8.87,	czerwony,	bulwy,	buraki
36.14,	8.47,	czarny,		owoce,	maliny
37.73,	7.09,	czarny,		owoce,	maliny
30.53,	1.44,	brazowy,	bulwy,	buraki
15.00,	1.98,	brazowy,	bulwy,	ziemniaki
42.83,	9.91,	czerwony,	bulwy,	buraki
16.62,	7.12,	zielony,	bulwy,	ziemniaki
85.51,	1.41,	czerwony,	owoce,	wisnie
68.09,	7.21,	czarny,		bulwy,	buraki
30.52,	2.41,	zolty,		nasiona,	pszenica
76.07,	6.73,	zielony,	owoce,	gruszki
8.26,	3.56,	zielony,	owoce,	truskawki
44.24,	8.87,	zielony,	owoce,	maliny
11.48,	3.10,	zielony,	bulwy,	ziemniaki
33.87,	1.71,	zielony,	owoce,	jagody
9.10,	6.04,	brazowy,	bulwy,	ziemniaki
57.04,	9.71,	czarny,		owoce,	gruszki
20.99,	4.91,	czarny,		bulwy,	ziemniaki
39.93,	5.46,	brazowy,	nasiona,	pszenica
40.14,	4.72,	czarny,		owoce,	maliny
37.84,	5.89,	czerwony,	owoce,	maliny
83.12,	1.88,	czarny,		owoce,	wisnie
21.54,	1.45,	czerwony,	bulwy,	buraki
48.69,	9.52,	zielony,	owoce,	gruszki
60.07,	5.04,	zolty,		owoce,	gruszki
43.75,	3.30,	zolty,		owoce,	maliny
30.84,	1.48,	zielony,	owoce,	jagody
50.99,	8.37,	brazowy,	owoce,	gruszki
78.28,	7.33,	brazowy,	nasiona,	pszenica
73.87,	4.25,	czarny,		owoce,	wisnie
45.82,	6.28,	zielony,	owoce,	gruszki
70.02,	7.31,	zielony,	owoce,	gruszki
7.59,	1.56,	czarny,		owoce,	jagody
8.39,	6.89,	czerwony,	bulwy,	buraki
67.36,	1.71,	zolty,		owoce,	wisnie
32.44,	8.04,	brazowy,	nasiona,	pszenica
49.65,	2.62,	czarny,		owoce,	jagody
29.91,	4.02,	czerwony,	owoce,	maliny
39.15,	1.04,	czarny,		owoce,	jagody
28.01,	1.97,	czarny,		owoce,	jagody
35.72,	4.20,	zielony,	bulwy,	buraki
7.18,	3.89,	zolty,		owoce,	truskawki
81.67,	9.16,	czarny,		owoce,	gruszki
23.36,	4.15,	czerwony,	owoce,	maliny
81.90,	9.42,	brazowy,	owoce,	gruszki
26.76,	7.88,	czarny,		owoce,	maliny
53.32,	8.62,	zolty,		owoce,	maliny
28.96,	1.31,	czarny,		owoce,	jagody
1.91,	1.79,	czarny,		bulwy,	ziemniaki
94.04,	7.06,	czarny,		owoce,	gruszki
17.72,	2.61,	brazowy,	bulwy,	ziemniaki
10.85,	3.26,	czerwony,	owoce,	truskawki
10.04,	3.41,	zolty,		owoce,	truskawki
98.66,	4.45,	zielony,	owoce,	gruszki
15.16,	1.76,	zielony,	owoce,	jagody
45.68,	9.74,	zolty,		bulwy,	buraki
87.62,	4.17,	zielony,	nasiona,	pszenica
29.66,	2.46,	czarny,		owoce,	jagody
2.52,	2.46,	brazowy,	bulwy,	ziemniaki
35.27,	2.06,	czarny,		owoce,	jagody
68.00,	4.07,	zielony,	owoce,	gruszki
71.00,	3.87,	zielony,	owoce,	gruszki
72.23,	2.83,	czerwony,	owoce,	wisnie
40.12,	1.15,	czarny,		owoce,	jagody
75.00,	4.68,	brazowy,	owoce,	gruszki
63.77,	1.17,	czerwony,	owoce,	wisnie
